observation_number,observation_label,original_recording_id,observation_date,observer,collection_day,bin_number,clock_hour,camera_seconds,post_collection_fraction,raw_at_site_seconds,foraging_within_raw_at_site_seconds,focal_visible_union_seconds,all_foraging_seconds
9,Observation 9,M(5),2017-12-06,Observer 1,1,19,17.13611111111111,980.3600000000006,1.0,73.94600000000355,71.62800000000425,73.94600000000355,71.62800000000425
10,Observation 10,V4,2017-12-12,Observer 3,0,1,8.475,180.0,0.0,0.0,0.0,0.0,0.0
10,Observation 10,V4,2017-12-12,Observer 3,0,2,8.75,1800.0,0.0,0.0,0.0,0.0,0.0
10,Observation 10,V4,2017-12-12,Observer 3,0,3,9.25,1800.0,0.0,0.0,0.0,0.0,0.0
10,Observation 10,V4,2017-12-12,Observer 3,0,4,9.75,1800.0,0.0,0.0,0.0,0.0,0.0
10,Observation 10,V4,2017-12-12,Observer 3,0,5,10.25,1800.0,0.0,0.0,0.0,0.0,0.0
10,Observation 10,V4,2017-12-12,Observer 3,0,6,10.75,1800.0,0.0,0.0,0.0,0.0,0.0
10,Observation 10,V4,2017-12-12,Observer 3,0,7,11.25,1800.0,0.0,216.07500000000437,177.94700000000012,216.07500000000437,177.94700000000012
10,Observation 10,V4,2017-12-12,Observer 3,0,8,11.75,1800.0,0.0,58.6510000000053,54.63000000000466,58.6510000000053,54.63000000000466
10,Observation 10,V4,2017-12-12,Observer 3,0,9,12.25,1800.0,0.0,31.35399999999936,30.726999999998952,31.35399999999936,30.726999999998952
10,Observation 10,V4,2017-12-12,Observer 3,0,10,12.75,1800.0,0.0,1137.2709999999934,365.224000000002,1137.2709999999934,365.224000000002
10,Observation 10,V4,2017-12-12,Observer 3,0,11,13.25,1800.0,0.0,369.7830000000031,124.34800000001269,369.7830000000031,124.34800000001269
10,Observation 10,V4,2017-12-12,Observer 3,0,12,13.75,1800.0,0.0,85.70299999999406,53.91199999998935,85.70299999999406,53.91199999998935
10,Observation 10,V4,2017-12-12,Observer 3,0,13,14.25,1800.0,0.0,356.1160000000091,164.0879999999961,356.1160000000091,164.0879999999961
10,Observation 10,V4,2017-12-12,Observer 3,0,14,14.75,1800.0,0.0,383.56700000000274,383.5659999999989,383.56700000000274,383.5659999999989
10,Observation 10,V4,2017-12-12,Observer 3,0,15,15.25,1800.0,0.0,289.67400000000634,174.37099999999919,289.67400000000634,174.37099999999919
10,Observation 10,V4,2017-12-12,Observer 3,0,16,15.75,1800.0,0.0,886.8659999999945,283.13500000000204,886.8659999999945,283.13500000000204
10,Observation 10,V4,2017-12-12,Observer 3,0,17,16.25,1800.0,0.0,773.9310000000041,400.3359999999957,773.9310000000041,400.3359999999957
10,Observation 10,V4,2017-12-12,Observer 3,0,18,16.75,1800.0,0.0,332.9869999999937,272.04400000000896,332.9869999999937,272.04400000000896
10,Observation 10,V4,2017-12-12,Observer 3,0,19,17.25,1800.0,0.0,1332.512999999999,82.30999999999767,1332.512999999999,82.30999999999767
10,Observation 10,V4,2017-12-12,Observer 3,0,20,17.75,1800.0,0.0,144.8859999999986,28.302999999999884,144.8859999999986,28.302999999999884
10,Observation 10,V4,2017-12-12,Observer 3,0,21,18.25,1800.0,0.0,44.37799999999697,40.179999999993015,44.37799999999697,40.179999999993015
10,Observation 10,V4,2017-12-12,Observer 3,0,22,18.75,1800.0,0.0,0.0,0.0,0.0,0.0
10,Observation 10,V4,2017-12-12,Observer 3,0,23,19.25,1800.0,0.0,0.0,0.0,0.0,0.0
10,Observation 10,V4,2017-12-12,Observer 3,0,24,19.75,1800.0,0.0,0.0,0.0,0.0,0.0
10,Observation 10,V4,2017-12-12,Observer 3,0,25,20.044444444444448,320.4800000000032,0.0,0.0,0.0,0.0,0.0
11,Observation 11,N8,2017-12-13,Observer 2,1,1,8.35,1080.0,0.0,0.0,0.0,0.0,0.0
11,Observation 11,N8,2017-12-13,Observer 2,1,2,8.75,1800.0,0.0,47.423,45.58699999999999,47.423,45.58699999999999
11,Observation 11,N8,2017-12-13,Observer 2,1,3,9.25,1800.0,0.0,149.3740000000007,138.64300000000003,149.3740000000007,138.64300000000003
11,Observation 11,N8,2017-12-13,Observer 2,1,4,9.75,1800.0,0.0,30.076000000000022,28.895000000000437,30.076000000000022,28.895000000000437
11,Observation 11,N8,2017-12-13,Observer 2,1,5,10.25,1800.0,0.0,42.8020000000015,23.889000000000124,42.8020000000015,23.889000000000124
11,Observation 11,N8,2017-12-13,Observer 2,1,6,10.75,1800.0,0.0,358.0480000000007,150.08900000000176,358.0480000000007,150.08900000000176
11,Observation 11,N8,2017-12-13,Observer 2,1,7,11.25,1800.0,0.0,41.66699999999946,2.644000000000233,41.66699999999946,2.644000000000233
11,Observation 11,N8,2017-12-13,Observer 2,1,8,11.75,1800.0,0.0,663.6179999999949,165.9880000000012,663.6179999999949,165.9880000000012
